1996,0.169952631759,95.61,2,0.282932555166,0.769353402787,3,-6.405,169.22703
1996,0.060401858184,92.323,4,0.0919106406391,0.788891967854,1,-23.761,216.05832
1996,0.0361516312327,101.271,4,0.0890204398268,0.532516486617,6,-10.254,316.33333
1996,0.0308092448829,111.446,9,0.299450236733,0.667763599647,7,-18.932,30.04798
1958,0.0955930755166,139.778,7,0.0792693515356,0.538455659357,10,-11.962,164.0
1996,0.0919591965206,141.511,6,0.149054634074,0.310048862054,5,-5.96,280.79846
1955,0.0257752019345,90.034,8,0.216519187319,0.480546463582,5,-7.454,200.16
1955,0.0374929264505,94.79,1,0.240461209989,0.365175371393,4,-9.451,161.04054
1955,0.0371654975319,92.953,11,0.0950645639341,0.375588358554,6,-6.277,147.16
1955,0.137895896322,125.572,1,0.0831610495117,0.506340016788,1,-16.456,145.1083
1955,0.0776776378735,114.296,4,0.0828599987264,0.598325240188,3,-12.013,272.41905
1955,0.0548121211205,108.433,0,0.897869511606,0.445852375662,2,-10.424,203.80735
1952,0.0542957534875,89.538,7,0.851631858099,0.583024428885,2,-10.538,207.3219
1952,0.0721548834148,73.007,5,0.146453875672,0.693683694409,3,-22.435,137.60331
1952,0.0342162228631,92.929,3,0.189788769813,0.611252975471,1,-9.796,153.68
1955,0.032506647766,101.532,1,0.948803763045,0.500703004018,9,-10.923,153.89333
1955,0.122234558876,127.771,8,0.974350202618,0.636614027186,8,-12.928,149.66667
1952,0.0633926944938,161.171,3,0.223904210764,0.526643287938,4,-5.506,149.38231
1952,0.0504706017014,118.122,1,0.0914557765921,0.736318510038,5,-13.45,180.8
1968,0.0517846225742,110.31,4,0.899142406354,0.618205422586,9,-7.288,323.17333
1953,0.0442672653155,109.797,4,0.117743071448,0.609977372424,9,-18.425,154.70757
1968,0.0300531569732,109.895,2,0.0455851180582,0.562396237745,8,-13.741,298.30639
1953,0.0934581394964,77.111,9,0.581360435505,0.716611235899,8,-13.665,167.58667
